ticker,gics_sector
AAPL,Information Technology
ABBV,Health Care
ABT,Health Care
ACN,Information Technology
ADBE,Information Technology
ADI,Information Technology
ADM,Consumer Staples
ADP,Industrials
ADSK,Information Technology
AEE,Utilities
AEP,Utilities
AES,Utilities
AFL,Financials
AIG,Financials
AIZ,Financials
AJG,Financials
AKAM,Information Technology
ALB,Materials
ALGN,Health Care
ALK,Industrials
ALL,Financials
ALLE,Industrials
AMAT,Information Technology
AMCR,Materials
AMD,Information Technology
AME,Industrials
AMGN,Health Care
AMP,Financials
AMT,Real Estate
AMZN,Consumer Discretionary
ANET,Information Technology
ANSS,Information Technology
AON,Financials
AOS,Industrials
APA,Energy
APD,Materials
APH,Information Technology
APTV,Consumer Discretionary
ARE,Real Estate
ATO,Utilities
ATVI,Communication Services
AVGO,Information Technology
AVY,Materials
AWK,Utilities
AXP,Financials
AZO,Consumer Discretionary
BA,Industrials
BAC,Financials
BAX,Health Care
BBWI,Consumer Discretionary
BBY,Consumer Discretionary
BDX,Health Care
BEN,Financials
BF-B,Consumer Staples
BIIB,Health Care
BIO,Health Care
BK,Financials
BKNG,Consumer Discretionary
BKR,Energy
BLK,Financials
BMY,Health Care
BR,Industrials
BRK-B,Financials
BRO,Financials
BSX,Health Care
BWA,Consumer Discretionary
BXP,Real Estate
C,Financials
CAG,Consumer Staples
CAH,Health Care
CARR,Industrials
CAT,Industrials
CB,Financials
CBOE,Financials
CBRE,Real Estate
CCI,Real Estate
CCL,Consumer Discretionary
CDAY,Information Technology
CDNS,Information Technology
CDW,Information Technology
CE,Materials
CEG,Utilities
CF,Materials
CFG,Financials
CHD,Consumer Staples
CHRW,Industrials
CHTR,Communication Services
CI,Health Care
CINF,Financials
CL,Consumer Staples
CLX,Consumer Staples
CMA,Financials
CMCSA,Communication Services
CME,Financials
CMG,Consumer Discretionary
CMI,Industrials
CMS,Utilities
CNC,Health Care
CNP,Utilities
COF,Financials
COO,Health Care
COP,Energy
COST,Consumer Staples
CPB,Consumer Staples
CPRT,Industrials
CPT,Real Estate
CRL,Health Care
CRM,Information Technology
CSCO,Information Technology
CSGP,Real Estate
CSX,Industrials
CTAS,Industrials
CTLT,Health Care
CTRA,Energy
CTSH,Information Technology
CTVA,Materials
CVS,Health Care
CVX,Energy
CZR,Consumer Discretionary
D,Utilities
DAL,Industrials
DD,Materials
DE,Industrials
DFS,Financials
DG,Consumer Discretionary
DGX,Health Care
DHI,Consumer Discretionary
DHR,Health Care
DIS,Communication Services
DISH,Communication Services
DLTR,Consumer Discretionary
DOV,Industrials
DOW,Materials
DPZ,Consumer Discretionary
DRI,Consumer Discretionary
DTE,Utilities
DUK,Utilities
DVA,Health Care
DVN,Energy
DXC,Information Technology
DXCM,Health Care
EA,Communication Services
EBAY,Consumer Discretionary
ECL,Materials
ED,Utilities
EFX,Industrials
EIX,Utilities
EL,Consumer Staples
EMN,Materials
EMR,Industrials
ENPH,Information Technology
EOG,Energy
EPAM,Information Technology
EQIX,Real Estate
EQR,Real Estate
EQT,Energy
ES,Utilities
ESS,Real Estate
ETN,Industrials
ETR,Utilities
ETSY,Consumer Discretionary
EVRG,Utilities
EW,Health Care
EXC,Utilities
EXPD,Industrials
EXPE,Consumer Discretionary
EXR,Real Estate
F,Consumer Discretionary
FANG,Energy
FAST,Industrials
FBHS,Industrials
FCX,Materials
FDS,Financials
FDX,Industrials
FE,Utilities
FFIV,Information Technology
FIS,Financials
FISV,Financials
FITB,Financials
FLT,Financials
FMC,Materials
FOX,Communication Services
FOXA,Communication Services
FRC,Financials
FRT,Real Estate
FTNT,Information Technology
FTV,Industrials
GD,Industrials
GE,Industrials
GILD,Health Care
GIS,Consumer Staples
GL,Financials
GLW,Information Technology
GM,Consumer Discretionary
GNRC,Industrials
GOOG,Communication Services
GOOGL,Communication Services
GPC,Consumer Discretionary
GPN,Financials
GRMN,Consumer Discretionary
GS,Financials
GWW,Industrials
HAL,Energy
HAS,Consumer Discretionary
HBAN,Financials
HCA,Health Care
HD,Consumer Discretionary
HOLX,Health Care
HON,Industrials
HPE,Information Technology
HPQ,Information Technology
HRL,Consumer Staples
HSIC,Health Care
HST,Real Estate
HSY,Consumer Staples
HUM,Health Care
HWM,Industrials
IBM,Information Technology
ICE,Financials
IDXX,Health Care
IEX,Industrials
IFF,Materials
ILMN,Health Care
INCY,Health Care
INTC,Information Technology
INTU,Information Technology
INVH,Real Estate
IP,Materials
IPG,Communication Services
IQV,Health Care
IR,Industrials
IRM,Real Estate
ISRG,Health Care
IT,Information Technology
ITW,Industrials
IVZ,Financials
J,Industrials
JBHT,Industrials
JCI,Industrials
JKHY,Information Technology
JNJ,Health Care
JNPR,Information Technology
JPM,Financials
K,Consumer Staples
KDP,Consumer Staples
KEY,Financials
KEYS,Information Technology
KHC,Consumer Staples
KIM,Real Estate
KLAC,Information Technology
KMB,Consumer Staples
KMI,Energy
KMX,Consumer Discretionary
KO,Consumer Staples
KR,Consumer Staples
L,Financials
LDOS,Industrials
LEN,Consumer Discretionary
LH,Health Care
LHX,Industrials
LIN,Materials
LKQ,Consumer Discretionary
LLY,Health Care
LMT,Industrials
LNC,Financials
LNT,Utilities
LOW,Consumer Discretionary
LRCX,Information Technology
LUMN,Communication Services
LUV,Industrials
LVS,Consumer Discretionary
LW,Consumer Staples
LYB,Materials
LYV,Communication Services
MA,Financials
MAA,Real Estate
MAR,Consumer Discretionary
MAS,Industrials
MCD,Consumer Discretionary
MCHP,Information Technology
MCK,Health Care
MCO,Financials
MDLZ,Consumer Staples
MDT,Health Care
MET,Financials
META,Communication Services
MGM,Consumer Discretionary
MHK,Consumer Discretionary
MKC,Consumer Staples
MKTX,Financials
MLM,Materials
MMC,Financials
MMM,Industrials
MNST,Consumer Staples
MO,Consumer Staples
MOH,Health Care
MOS,Materials
MPC,Energy
MPWR,Information Technology
MRK,Health Care
MRNA,Health Care
MRO,Energy
MS,Financials
MSCI,Financials
MSFT,Information Technology
MSI,Information Technology
MTB,Financials
MTCH,Communication Services
